#    T [K]      P [bar]     H2O            CO2            CH4            NH3            N2             H2        
   230.707   1.921E-001    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   234.843   1.302E-001    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   238.661   8.821E-002    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   242.164   5.977E-002    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   245.355   4.050E-002    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   248.241   2.744E-002    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   250.828   1.859E-002    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   253.128   1.260E-002    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   255.152   8.535E-003    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   256.914   5.783E-003    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   258.428   3.918E-003    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   259.711   2.655E-003    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   260.779   1.799E-003    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   261.651   1.219E-003    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   262.346   8.258E-004    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   262.882   5.595E-004    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   263.281   3.791E-004    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   263.561   2.569E-004    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   263.744   1.740E-004    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   263.850   1.179E-004    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   263.901   7.990E-005    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
   263.916   5.414E-005    6.6604E-005    8.3047E-005    4.0467E-002    1.0668E-004    9.5926E-001    2.1608E-005
