Nested Sampling Global Log-Evidence           :    0.147682498660981787E+04  +/-    0.210886996341465044E+00
Nested Importance Sampling Global Log-Evidence:    0.147092968629611846E+04  +/-    0.800961083144764441E-01

Dim No.       Mean        Sigma
   1   -0.729994037100470727E+00    0.185896939814715445E+01
   2   -0.232775941154326826E+01    0.316586120817003991E+01
   3   -0.285445735582071469E+01    0.310213729881061795E+01
   4   -0.102294348754439546E+01    0.217406222955142558E+01
   5   -0.493445583194815351E+00    0.207571166163407295E+01
   6   -0.281285596399252480E+01    0.227169461716409105E+01
   7   -0.314642587664238693E+01    0.301889250331111514E+01
   8    0.809196765478709806E-01    0.982562963967547297E-02
   9    0.367401224662158897E-02    0.129870831001853947E-02
  10    0.190613341805997094E+01    0.812896744624733714E+00
  11    0.176457895441368295E+01    0.739572995574652059E+00
  12    0.164338658604574728E+01    0.649144927638719782E+00
  13    0.145496735386494080E+01    0.534573720279929998E+00
  14    0.242910572589810636E+01    0.234178799272118966E-01
  15    0.202474249163104902E+01    0.250068028881762383E+00
  16   -0.805938066768870520E+01    0.753003157872583984E+00
  17   -0.697526010496345172E+01    0.106554115731475796E+01
  18   -0.578490660368253895E+01    0.108806521377733256E+01
  19   -0.444257714195274822E+01    0.109679900312751188E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.816786027301691142E+00
   2   -0.538175547857514580E+01
   3   -0.489286346417509233E+01
   4   -0.479704152262370265E+01
   5   -0.210926524730215981E+01
   6   -0.468827950631008950E+01
   7   -0.734430255564443968E+00
   8    0.943069002824348385E-01
   9    0.380009984431010223E-02
  10    0.170230066243437306E+01
  11    0.111803653027004635E+01
  12    0.236492975901623659E+01
  13    0.990034571923067985E+00
  14    0.242146756809015340E+01
  15    0.194418619295707407E+01
  16   -0.884460875276342406E+01
  17   -0.698601849299014255E+01
  18   -0.654509464756923709E+01
  19   -0.438070068263380641E+01

MAP Parameters
Dim No.        Parameter
   1    0.816786027301691142E+00
   2   -0.538175547857514580E+01
   3   -0.489286346417509233E+01
   4   -0.479704152262370265E+01
   5   -0.210926524730215981E+01
   6   -0.468827950631008950E+01
   7   -0.734430255564443968E+00
   8    0.943069002824348385E-01
   9    0.380009984431010223E-02
  10    0.170230066243437306E+01
  11    0.111803653027004635E+01
  12    0.236492975901623659E+01
  13    0.990034571923067985E+00
  14    0.242146756809015340E+01
  15    0.194418619295707407E+01
  16   -0.884460875276342406E+01
  17   -0.698601849299014255E+01
  18   -0.654509464756923709E+01
  19   -0.438070068263380641E+01
