Nested Sampling Global Log-Evidence           :    0.146586744368462200E+04  +/-    0.246423119045728611E+00
Nested Importance Sampling Global Log-Evidence:    0.145900306090347431E+04  +/-    0.462133984171313239E+00

Dim No.       Mean        Sigma
   1   -0.717017630263977579E+00    0.185184866799818559E+01
   2   -0.347996764229319488E+01    0.299500235473880316E+01
   3   -0.108574335647997477E+01    0.265038666068472129E+01
   4   -0.531335713424110612E+01    0.196841157541287726E+01
   5    0.107557477357534093E+01    0.115394713509764291E+01
   6    0.123526216764504548E+01    0.115250149182356654E+01
   7   -0.339254816440732387E+01    0.303280872900536869E+01
   8    0.825361742455237579E-01    0.378487955593707339E-02
   9    0.384371080369540902E-02    0.121173195684220851E-02
  10    0.277413645786049434E+01    0.267530962694313756E+00
  11    0.199531885823397359E+01    0.591101954828758935E+00
  12    0.138686589723551590E+01    0.592591079457301606E+00
  13    0.140815111275813676E+01    0.429051697686284594E+00
  14    0.217635443463144984E+01    0.293174121707295732E+00
  15    0.331651197366951811E+01    0.464482216587995600E+00
  16   -0.768051547904440302E+01    0.808508066254390756E+00
  17   -0.656817163081370925E+01    0.100290137768502996E+01
  18   -0.540645844214401095E+01    0.106743745228849374E+01
  19   -0.302419926757055135E+01    0.126627501534071674E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.648291771416278806E+00
   2   -0.955644286139545329E+00
   3    0.179221315089508337E+01
   4   -0.891856032463959281E+01
   5    0.181491077008256951E+01
   6    0.188680971841918321E+01
   7   -0.818528821957435759E-01
   8    0.811146666004005368E-01
   9    0.552268884890091353E-02
  10    0.252017050325854175E+01
  11    0.236549302772492709E+01
  12    0.245799542786749425E+01
  13    0.211402579541743885E+01
  14    0.267845363416921778E+01
  15    0.128462622814710992E+01
  16   -0.541156244607014081E+01
  17   -0.372665883962710298E+01
  18   -0.363454131648133316E+01
  19   -0.539733692558062472E+00

MAP Parameters
Dim No.        Parameter
   1   -0.648291771416278806E+00
   2   -0.955644286139545329E+00
   3    0.179221315089508337E+01
   4   -0.891856032463959281E+01
   5    0.181491077008256951E+01
   6    0.188680971841918321E+01
   7   -0.818528821957435759E-01
   8    0.811146666004005368E-01
   9    0.552268884890091353E-02
  10    0.252017050325854175E+01
  11    0.236549302772492709E+01
  12    0.245799542786749425E+01
  13    0.211402579541743885E+01
  14    0.267845363416921778E+01
  15    0.128462622814710992E+01
  16   -0.541156244607014081E+01
  17   -0.372665883962710298E+01
  18   -0.363454131648133316E+01
  19   -0.539733692558062472E+00
