#  lambda [mu]  total average tau
    6.030151      0.3769143E+03
    6.090755      0.4045537E+03
    6.151969      0.4147303E+03
    6.213798      0.4201555E+03
    6.276248      0.4277616E+03
    6.339326      0.4765552E+03
    6.403038      0.5213522E+03
    6.467390      0.5677194E+03
    6.532389      0.6064933E+03
    6.598041      0.6383331E+03
    6.664353      0.6875784E+03
    6.731331      0.7302687E+03
    6.798983      0.8005349E+03
    6.867314      0.8756609E+03
    6.936333      0.9416090E+03
    7.006044      0.1019069E+04
    7.076457      0.1093027E+04
    7.147577      0.1170742E+04
    7.219412      0.1257396E+04
    7.291969      0.1418824E+04
    7.365255      0.1821165E+04
    7.439278      0.2513222E+04
    7.514044      0.2882637E+04
    7.589562      0.2557369E+04
    7.665839      0.4011234E+04
    7.742883      0.2927349E+04
    7.820701      0.2993109E+04
    7.899301      0.3067478E+04
    7.978691      0.2991605E+04
    8.058879      0.3093544E+04
    8.139872      0.3266507E+04
    8.221680      0.3529546E+04
    8.304310      0.3808294E+04
    8.387771      0.4096381E+04
    8.472070      0.4387076E+04
    8.557216      0.4683737E+04
    8.643218      0.4991720E+04
    8.730085      0.5315916E+04
    8.817824      0.5666712E+04
    8.906446      0.6049620E+04
    8.995958      0.6468980E+04
    9.086369      0.6925582E+04
    9.177690      0.7407333E+04
    9.269928      0.7896872E+04
    9.363093      0.8369787E+04
    9.457194      0.8795518E+04
    9.552242      0.9162798E+04
    9.648244      0.9464578E+04
    9.745211      0.9712504E+04
    9.843153      0.9936881E+04
    9.942079      0.1014317E+05
   10.042000      0.1037255E+05
   10.142920      0.1064414E+05
   10.244860      0.1098079E+05
   10.347830      0.1138092E+05
   10.451820      0.1185399E+05
   10.556870      0.1240960E+05
   10.662970      0.1302275E+05
   10.770130      0.1371768E+05
   10.878380      0.1448285E+05
   10.987710      0.1531526E+05
   11.098140      0.1623060E+05
   11.209670      0.1719172E+05
   11.322330      0.1822734E+05
   11.436130      0.1932571E+05
   11.551060      0.2043946E+05
   11.667150      0.2154765E+05
   11.784410      0.2263001E+05
   11.902850      0.2365733E+05
   12.022470      0.2460180E+05
   12.143300      0.2544686E+05
   12.265350      0.2620868E+05
   12.388620      0.2691052E+05
   12.513130      0.2756140E+05
   12.638890      0.2821922E+05
   12.765910      0.2891832E+05
   12.894210      0.2967592E+05
   13.023800      0.3054400E+05
   13.154690      0.3153271E+05
   13.286900      0.3266404E+05
   13.420440      0.3397354E+05
   13.555320      0.3546427E+05
   13.691550      0.3708960E+05
   13.829150      0.3898701E+05
   13.968140      0.4086664E+05
   14.108520      0.4312757E+05
   14.250320      0.4608129E+05
   14.393540      0.5054320E+05
   14.538200      0.5793036E+05
   14.684310      0.6618010E+05
   14.831890      0.7392606E+05
   14.980950      0.1161341E+06
   15.131520      0.7539400E+05
   15.283590      0.7391519E+05
   15.437190      0.7239987E+05
   15.592340      0.7155457E+05
   15.749050      0.7279530E+05
   15.907330      0.7459281E+05
   15.993430      0.7549285E+05
