Nested Sampling Global Log-Evidence           :    0.147007050074222570E+04  +/-    0.234128335336112714E+00
Nested Importance Sampling Global Log-Evidence:    0.146243958340362019E+04  +/-    0.715142658034974565E-01

Dim No.       Mean        Sigma
   1   -0.480125081868798820E+00    0.184952892328378904E+01
   2    0.241156760554663924E+00    0.226151055567172099E+01
   3   -0.517301367576538063E+01    0.203435035192740221E+01
   4   -0.388050954850527585E+01    0.121385830532583561E+01
   5   -0.264537488448460145E+01    0.160788562679102776E+01
   6   -0.578880475621197554E+01    0.184169329746932786E+01
   7   -0.357782145935390217E+01    0.274771546795604893E+01
   8    0.736444531436345751E-01    0.792491852921737953E-02
   9    0.392811921598999921E-02    0.115978017468249179E-02
  10    0.213895670156957562E+01    0.891982264200422148E+00
  11    0.189817139202061513E+01    0.796764866560190743E+00
  12    0.179867128798896703E+01    0.749768933437611862E+00
  13    0.139689835662466977E+01    0.534877365895672585E+00
  14    0.245218298198605922E+01    0.283400641947442189E-01
  15    0.192568028205789843E+01    0.385847162954921052E+00
  16   -0.771875421182160348E+01    0.878430736683813662E+00
  17   -0.659081902925530283E+01    0.103587784470099575E+01
  18   -0.519979343450552189E+01    0.110622381502181644E+01
  19   -0.364211247820500539E+01    0.101125332243942423E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.381499592770964036E+01
   2   -0.618429903341287357E+01
   3   -0.545441822735493531E+01
   4   -0.820114266518674739E+01
   5   -0.853109507621096519E+01
   6    0.289121629512540679E+01
   7   -0.239038201862031663E+01
   8    0.896216882356393602E-01
   9    0.256822127566137337E-02
  10    0.248171260916439707E+01
  11    0.895288696054599042E+00
  12    0.109067832504709727E+01
  13    0.246739098202706408E+01
  14    0.236499605876097174E+01
  15    0.336094274207822208E+01
  16   -0.821267118176201194E+01
  17   -0.640099047708161883E+01
  18   -0.474697040349433941E+01
  19   -0.301654108197354054E+01

MAP Parameters
Dim No.        Parameter
   1   -0.381499592770964036E+01
   2   -0.618429903341287357E+01
   3   -0.545441822735493531E+01
   4   -0.820114266518674739E+01
   5   -0.853109507621096519E+01
   6    0.289121629512540679E+01
   7   -0.239038201862031663E+01
   8    0.896216882356393602E-01
   9    0.256822127566137337E-02
  10    0.248171260916439707E+01
  11    0.895288696054599042E+00
  12    0.109067832504709727E+01
  13    0.246739098202706408E+01
  14    0.236499605876097174E+01
  15    0.336094274207822208E+01
  16   -0.821267118176201194E+01
  17   -0.640099047708161883E+01
  18   -0.474697040349433941E+01
  19   -0.301654108197354054E+01
