#       P [bar]       C/O       [O]       [C]
     3.6008E+02     0.002     2.999     0.587
     2.0920E+02     0.002     2.999     0.587
     1.2154E+02     0.002     2.999     0.587
     7.0610E+01     0.002     2.999     0.587
     4.1023E+01     0.002     2.999     0.587
     2.3833E+01     0.002     2.999     0.587
     1.3846E+01     0.002     2.999     0.587
     8.0443E+00     0.002     2.999     0.587
     4.6735E+00     0.002     2.999     0.587
     2.7152E+00     0.002     2.999     0.587
     1.5774E+00     0.002     2.999     0.587
     9.1645E-01     0.002     2.999     0.587
     5.3243E-01     0.002     2.999     0.587
     3.0933E-01     0.002     2.999     0.587
     1.7971E-01     0.002     2.999     0.587
     1.0441E-01     0.002     2.999     0.587
     6.0657E-02     0.002     2.999     0.587
     3.5240E-02     0.002     2.999     0.587
     2.0474E-02     0.002     2.999     0.587
     1.1895E-02     0.002     2.999     0.587
     6.9104E-03     0.002     2.999     0.587
     4.0148E-03     0.002     2.999     0.587
     2.3325E-03     0.002     2.999     0.587
     1.3551E-03     0.002     2.999     0.587
     7.8727E-04     0.002     2.999     0.587
     4.5738E-04     0.002     2.999     0.587
     2.6573E-04     0.002     2.999     0.587
     1.5438E-04     0.002     2.999     0.587
     8.9690E-05     0.002     2.999     0.587
     5.2107E-05     0.002     2.999     0.587
     3.0273E-05     0.002     2.999     0.587
     1.7588E-05     0.002     2.999     0.587
     1.0218E-05     0.002     2.999     0.587
     5.9363E-06     0.002     2.999     0.587
     3.4489E-06     0.002     2.999     0.587
     2.0037E-06     0.002     2.999     0.587
     1.1641E-06     0.002     2.999     0.587
     6.7630E-07     0.002     2.999     0.587
     3.9291E-07     0.002     2.999     0.587
     2.2827E-07     0.002     2.999     0.587
     1.3262E-07     0.002     2.999     0.587
     7.7048E-08     0.002     2.999     0.587
     4.4763E-08     0.002     2.999     0.587
     2.6006E-08     0.002     2.999     0.587
     1.5109E-08     0.002     2.999     0.587
     8.7777E-09     0.002     2.999     0.587
     5.0996E-09     0.002     2.999     0.587
     2.9627E-09     0.002     2.999     0.587
     1.7213E-09     0.002     2.999     0.587
     1.0000E-09     0.002     2.999     0.587
