#   radius [cm]    height [cm]  dens [g/cm^3]   N [1/cm^3]     T [K]    P [bar]g [cm/s^2]       MMW
 6.7071251E+008    1.7628E+005    1.5449E-004  5.2205E+018   296.810 2.139E-001   768.621    17.822
 6.7123887E+008    7.0264E+005    1.0536E-004  3.5602E+018   294.249 1.446E-001   767.416    17.822
 6.7193643E+008    1.4002E+006    7.1929E-005  2.4306E+018   291.389 9.778E-002   765.824    17.822
 6.7262824E+008    2.0920E+006    4.9163E-005  1.6612E+018   288.230 6.611E-002   764.249    17.822
 6.7331356E+008    2.7773E+006    3.3641E-005  1.1368E+018   284.772 4.469E-002   762.695    17.822
 6.7399163E+008    3.4554E+006    2.3048E-005  7.7880E+017   281.019 3.022E-002   761.161    17.822
 6.7466169E+008    4.1255E+006    1.5810E-005  5.3422E+017   276.973 2.043E-002   759.650    17.822
 6.7532299E+008    4.7868E+006    1.0858E-005  3.6691E+017   272.640 1.381E-002   758.163    17.822
 6.7597479E+008    5.4386E+006    7.4674E-006  2.5233E+017   268.026 9.337E-003   756.701    17.822
 6.7661637E+008    6.0801E+006    5.1423E-006  1.7376E+017   263.139 6.313E-003   755.267    17.822
 6.7724700E+008    6.7108E+006    3.5460E-006  1.1982E+017   257.989 4.268E-003   753.861    17.822
 6.7786601E+008    7.3298E+006    2.4486E-006  8.2741E+016   252.586 2.885E-003   752.485    17.822
 6.7847272E+008    7.9365E+006    1.6933E-006  5.7217E+016   246.942 1.951E-003   751.140    17.822
 6.7906649E+008    8.5303E+006    1.1727E-006  3.9625E+016   241.071 1.319E-003   749.827    17.822
 6.7964672E+008    9.1105E+006    8.1333E-007  2.7483E+016   234.987 8.917E-004   748.547    17.822
 6.8021283E+008    9.6766E+006    5.6497E-007  1.9091E+016   228.707 6.028E-004   747.301    17.822
 6.8076429E+008    1.0228E+007    3.9307E-007  1.3282E+016   222.246 4.076E-004   746.091    17.822
 6.8130061E+008    1.0764E+007    2.7391E-007  9.2555E+015   215.623 2.755E-004   744.917    17.822
 6.8182133E+008    1.1285E+007    1.9118E-007  6.4601E+015   208.857 1.863E-004   743.780    17.822
 6.8232606E+008    1.1790E+007    1.3366E-007  4.5165E+015   201.967 1.259E-004   742.680    17.822
 6.8281444E+008    1.2278E+007    9.3606E-008  3.1630E+015   194.973 8.515E-005   741.618    17.822
 6.8328618E+008    1.2750E+007    6.5668E-008  2.2190E+015   187.896 5.756E-005   740.594    17.822
 6.8374101E+008    1.3205E+007    4.6150E-008  1.5595E+015   180.757 3.892E-005   739.609    17.822
 6.8417874E+008    1.3643E+007    3.2492E-008  1.0979E+015   173.577 2.631E-005   738.663    17.822
 6.8459924E+008    1.4063E+007    2.2917E-008  7.7439E+014   166.378 1.779E-005   737.756    17.822
 6.8500242E+008    1.4466E+007    1.6194E-008  5.4722E+014   159.180 1.203E-005   736.887    17.822
 6.8538824E+008    1.4852E+007    1.1465E-008  3.8742E+014   152.006 8.131E-006   736.058    17.822
 6.8575674E+008    1.5221E+007    8.1329E-009  2.7482E+014   144.876 5.497E-006   735.267    17.822
 6.8610797E+008    1.5572E+007    5.7804E-009  1.9532E+014   137.809 3.716E-006   734.515    17.822
 6.8644209E+008    1.5906E+007    4.1166E-009  1.3910E+014   130.826 2.513E-006   733.800    17.822
 6.8675914E+008    1.6223E+007    2.9399E-009  9.9342E+013   123.849 1.699E-006   733.122    17.822
 6.8704324E+008    1.6507E+007    2.3633E-009  7.9857E+013   104.160 1.148E-006   732.516    17.822
 6.8726972E+008    1.6733E+007    2.1483E-009  7.2592E+013    77.468 7.764E-007   732.034    17.822
 6.8743748E+008    1.6901E+007    1.9740E-009  6.6702E+013    56.999 5.249E-007   731.676    17.822
 6.8756648E+008    1.7030E+007    1.6413E-009  5.5462E+013    46.345 3.549E-007   731.402    17.822
 6.8767461E+008    1.7138E+007    1.2775E-009  4.3167E+013    40.257 2.399E-007   731.172    17.822
 6.8776879E+008    1.7233E+007    9.8930E-010  3.3429E+013    35.145 1.622E-007   730.972    17.822
 6.8785132E+008    1.7315E+007    7.6027E-010  2.5690E+013    30.918 1.097E-007   730.796    17.822
 6.8792430E+008    1.7388E+007    5.7824E-010  1.9539E+013    27.483 7.414E-008   730.641    17.822
 6.8798958E+008    1.7453E+007    4.3411E-010  1.4669E+013    24.750 5.013E-008   730.502    17.822
 6.8804882E+008    1.7513E+007    3.2084E-010  1.0841E+013    22.640 3.389E-008   730.377    17.822
 6.8810351E+008    1.7567E+007    2.3281E-010  7.8668E+012    21.094 2.291E-008   730.261    17.822
 6.8815498E+008    1.7619E+007    1.6542E-010  5.5898E+012    20.071 1.549E-008   730.151    17.822
 6.8820454E+008    1.7668E+007    1.1479E-010  3.8789E+012    19.554 1.047E-008   730.046    17.822
 6.8825404E+008    1.7718E+007    7.5810E-011  2.5617E+012    20.018 7.080E-009   729.941    17.822
 6.8830952E+008    1.7773E+007    4.2162E-011  1.4247E+012    24.334 4.787E-009   729.823    17.822
 6.8838315E+008    1.7847E+007    2.0102E-011  6.7926E+011    34.506 3.236E-009   729.667    17.822
 6.8849484E+008    1.7959E+007    8.5679E-012  2.8952E+011    54.734 2.188E-009   729.431    17.822
 6.8867999E+008    1.8144E+007    3.4046E-012  1.1505E+011    93.122 1.479E-009   729.038    17.822
 6.8889874E+008    1.8363E+007    1.3153E-012  4.4447E+010   162.958 1.000E-009   728.576    17.822
