# pmax       H2          H2O         CO2         CH4         NH3         N2          Rp          Mp          Tpoint001   Tpoint002   Tpoint003   Tpoint004   Tpoint005   Tpoint006   Ppoint002   Ppoint003   Ppoint004   Ppoint005           C/O         [Z]        Teff         MMW
 -3.1678E+00 -5.0843E+00  9.8994E-01 -4.1476E+00 -1.9922E+00 -3.9219E-01 -1.4247E+00  9.5549E-02  4.9614E-03  8.0781E-01  1.7508E+00  1.7093E+00  2.3299E+00  2.4893E+00  1.6971E+00 -6.6549E+00 -4.4404E+00 -3.5040E+00  1.4628E+00  7.9924E-04  2.7480E+00  2.1815E+02  1.7851E+01
 -1.5278E+00 -7.6220E+00  3.4148E-01 -4.1708E+00 -2.3011E+00 -1.0187E+00  1.0953E+00  9.7041E-02  5.3270E-03  1.5306E+00  2.1216E+00  1.3238E+00  2.3017E+00  2.4904E+00  2.6092E+00 -8.0117E+00 -6.9001E+00 -3.4074E+00  2.4484E-01  1.0493E-03  2.7497E+00  2.1612E+02  1.7881E+01
 -9.7625E-01  6.1086E-01  1.1537E+00 -4.3345E+00 -1.9363E+00 -2.0996E-01 -1.7776E+00  9.5122E-02  5.7212E-03  2.4091E+00  7.3828E-01  1.5243E+00  2.0444E+00  2.4610E+00  2.0180E+00 -7.8031E+00 -5.4733E+00 -4.9818E+00 -4.0300E-01  2.3077E-03  3.8192E+00  2.1912E+02  2.6259E+01
 -8.7078E-01 -1.9908E-01 -9.7003E-01 -3.8940E+00 -3.7994E+00 -2.3897E+00 -7.1649E+00  9.2127E-02  4.3439E-03  1.5040E+00  1.2593E+00  1.3146E+00  1.9835E+00  2.4594E+00  6.9427E-01 -6.6777E+00 -6.6198E+00 -5.4760E+00 -5.6963E-01  8.1602E-04  2.6439E+00  2.2109E+02  1.4444E+01
  1.0520E+00 -1.8982E+00  1.0541E+00 -5.9139E+00 -2.6286E+00 -7.9851E-01 -1.5568E+00  9.2065E-02  1.5150E-03  5.8117E-01  1.6880E+00  5.4892E-01  2.1008E+00  2.4684E+00  1.7093E+00 -7.3198E+00 -6.9389E+00 -4.9427E+00 -5.0576E-01  2.6663E-03  1.9311E+00  2.2148E+02  4.3812E+00
 -3.1678E+00 -5.0843E+00  9.8994E-01 -4.1476E+00 -1.9922E+00 -3.9219E-01 -1.4247E+00  9.5549E-02  4.9614E-03  8.0781E-01  1.7508E+00  1.7093E+00  2.3299E+00  2.4893E+00  1.6971E+00 -6.6549E+00 -4.4404E+00 -3.5040E+00  1.4628E+00  2.0775E-04  2.7540E+00  2.1815E+02  1.7878E+01
 -6.2192E-01 -5.6485E+00  1.8097E+00 -6.3935E-01 -9.0459E-01  5.3261E-01 -3.8415E+00  9.7767E-02  3.7512E-03  1.7520E+00  4.9792E-01  8.7025E-01  2.1537E+00  2.4820E+00  1.2757E+00 -6.5947E+00 -6.1910E+00 -5.1733E+00  1.0152E+00  1.0493E-03  2.7497E+00  2.1448E+02  1.7881E+01
  1.3726E+00 -4.8732E+00  2.0166E+00 -1.7444E-01 -9.0729E-01  9.0092E-01 -4.6581E+00  9.7403E-02  4.0982E-03  2.2579E+00  6.7702E-01  1.4835E+00  2.2427E+00  2.4495E+00  1.1939E+00 -6.7482E+00 -6.2360E+00 -4.1411E+00 -1.1294E+00  5.4472E-03  2.7483E+00  2.1535E+02  1.7919E+01
  1.3352E+00 -7.1404E+00  1.0060E+00 -3.5822E+00 -1.7308E+00 -2.4238E-01 -5.9144E+00  9.6244E-02  3.8951E-03  7.2637E-01  6.8741E-01  1.2046E+00  2.1258E+00  2.4874E+00  5.6954E-01 -7.9343E+00 -7.7008E+00 -5.8348E+00  9.6109E-01  7.5359E-03  2.7476E+00  2.1733E+02  1.7967E+01
  1.0336E+00 -8.6804E+00  1.2759E+00 -2.3809E+00 -1.7914E+00 -1.9723E-01 -8.9414E+00  9.4227E-02  2.9054E-03  1.5567E+00  9.1370E-01  1.0715E+00  2.3401E+00  2.4575E+00  1.5031E+00 -5.5024E+00 -4.0374E+00 -3.2675E+00 -4.9744E-01  1.8586E-03  2.7434E+00  2.1910E+02  1.7830E+01
 -1.3539E+00  2.6172E+00  2.1700E+00 -1.7852E+00 -2.2918E-01  9.0274E-01 -2.3708E+00  9.3737E-02  3.7328E-03  2.5774E+00  1.0130E+00  1.6474E+00  1.9878E+00  2.4609E+00  1.9566E+00 -6.4840E+00 -5.9931E+00 -5.5665E+00 -3.5732E-01  1.0764E-03  2.7484E+00  2.1983E+02  1.7857E+01
  2.1307E+00  2.0006E-01  7.0282E-01 -1.6240E+00 -2.6628E+00 -5.3103E-01 -7.1903E+00  9.5324E-02  5.5774E-03  1.9822E+00  5.8729E-01  1.2734E+00  2.1831E+00  2.4737E+00  8.7953E-01 -7.4315E+00 -5.5773E+00 -4.7144E+00  4.1355E-01  4.0984E-03  2.1903E+00  2.1759E+02  6.3425E+00
  1.5981E+00 -3.4842E+00  1.2261E+00 -5.6849E+00 -2.3684E+00 -6.3727E-01 -5.2200E+00  9.3902E-02  4.9900E-03  1.2805E+00  1.6223E+00  6.3448E-01  2.1781E+00  2.4628E+00  2.2870E+00 -6.6129E+00 -4.8047E+00 -3.9016E+00 -3.4509E-01  5.0941E-03  2.6391E+00  2.1893E+02  1.4309E+01
