Nested Sampling Global Log-Evidence           :    0.145596156852436457E+04  +/-    0.269252921672797019E+00
Nested Importance Sampling Global Log-Evidence:    0.144794940205502508E+04  +/-    0.110426343576815481E+00

Dim No.       Mean        Sigma
   1   -0.452016772428348423E+00    0.184075842194005768E+01
   2   -0.361398731622530356E+01    0.297333279877341328E+01
   3    0.136366568235465224E+01    0.105890503984505790E+01
   4   -0.500866403979794761E+01    0.226383191123621330E+01
   5   -0.155794772319734354E+01    0.144351719828217440E+01
   6   -0.134731902829037030E-04    0.108207928880615900E+01
   7   -0.339801216052635846E+01    0.299514533642472758E+01
   8    0.945859701942260572E-01    0.192845853597879507E-02
   9    0.365425702721821266E-02    0.128709579244839253E-02
  10    0.159218861944249257E+01    0.619799796196909503E+00
  11    0.154192412933737044E+01    0.589117179216687492E+00
  12    0.118043852592477116E+01    0.441138075195652679E+00
  13    0.208675604622297328E+01    0.181140884852367789E+00
  14    0.247139465985256512E+01    0.123765328317127707E-01
  15    0.145242129544819520E+01    0.557619678166931254E+00
  16   -0.775182328052721381E+01    0.855184504133674750E+00
  17   -0.637701140978577374E+01    0.107415424360908496E+01
  18   -0.513066421262495354E+01    0.998855058825196207E+00
  19    0.843333400683082268E-01    0.809908265932541060E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.142069801461277745E+01
   2   -0.432697115319731562E+01
   3   -0.696368334017670065E+00
   4   -0.505726758602293636E+01
   5   -0.319112326635609556E+01
   6   -0.191976838624745305E+01
   7   -0.654158612684368279E+01
   8    0.959128361369522425E-01
   9    0.272959013306873621E-02
  10    0.221207619307342984E+01
  11    0.128975036340322946E+01
  12    0.167361767446849607E+01
  13    0.209516098135502471E+01
  14    0.248720688823162961E+01
  15    0.244157147909479555E+01
  16   -0.806411912301982170E+01
  17   -0.642900283012289364E+01
  18   -0.575614610795580450E+01
  19    0.828178829572021158E+00

MAP Parameters
Dim No.        Parameter
   1    0.142069801461277745E+01
   2   -0.432697115319731562E+01
   3   -0.696368334017670065E+00
   4   -0.505726758602293636E+01
   5   -0.319112326635609556E+01
   6   -0.191976838624745305E+01
   7   -0.654158612684368279E+01
   8    0.959128361369522425E-01
   9    0.272959013306873621E-02
  10    0.221207619307342984E+01
  11    0.128975036340322946E+01
  12    0.167361767446849607E+01
  13    0.209516098135502471E+01
  14    0.248720688823162961E+01
  15    0.244157147909479555E+01
  16   -0.806411912301982170E+01
  17   -0.642900283012289364E+01
  18   -0.575614610795580450E+01
  19    0.828178829572021158E+00
