#Kzz [cm^2/s]      P [bar]
   5.000E+008   3.171E+001
   5.000E+008   1.936E+001
   5.000E+008   1.182E+001
   5.000E+008   7.215E+000
   5.000E+008   4.405E+000
   5.000E+008   2.689E+000
   5.000E+008   1.642E+000
   5.000E+008   1.002E+000
   5.000E+008   6.119E-001
   5.000E+008   3.736E-001
   5.000E+008   2.281E-001
   5.000E+008   1.392E-001
   5.000E+008   8.500E-002
   5.000E+008   5.189E-002
   5.000E+008   3.168E-002
   5.000E+008   1.934E-002
   5.000E+008   1.181E-002
   5.000E+008   7.209E-003
   5.000E+008   4.401E-003
   5.000E+008   2.687E-003
   5.000E+008   1.640E-003
   5.000E+008   1.002E-003
   5.000E+008   6.114E-004
   5.000E+008   3.733E-004
   5.000E+008   2.279E-004
   5.000E+008   1.391E-004
   5.000E+008   8.494E-005
   5.000E+008   5.186E-005
   5.000E+008   3.166E-005
   5.000E+008   1.933E-005
   5.000E+008   1.180E-005
   5.000E+008   7.204E-006
   5.000E+008   4.398E-006
   5.000E+008   2.685E-006
   5.000E+008   1.639E-006
   5.000E+008   1.001E-006
   5.000E+008   6.110E-007
   5.000E+008   3.730E-007
   5.000E+008   2.277E-007
   5.000E+008   1.390E-007
   5.000E+008   8.488E-008
   5.000E+008   5.182E-008
   5.000E+008   3.163E-008
   5.000E+008   1.931E-008
   5.000E+008   1.179E-008
   5.000E+008   7.198E-009
   5.000E+008   4.395E-009
   5.000E+008   2.683E-009
   5.000E+008   1.638E-009
   5.000E+008   1.000E-009
