Nested Sampling Global Log-Evidence           :    0.148493761499865468E+04  +/-    0.247268890681232978E+00
Nested Importance Sampling Global Log-Evidence:    0.147823077372062608E+04  +/-    0.545714087030250289E-01

Dim No.       Mean        Sigma
   1   -0.521894078813171736E+00    0.186748054410784348E+01
   2   -0.341341470646794853E+01    0.301394654488001779E+01
   3   -0.446739030496792289E+01    0.262604351545598513E+01
   4   -0.548748694298473083E+01    0.204687949597032448E+01
   5   -0.550048925609783801E+01    0.196244412339360386E+01
   6    0.134693667628407021E+01    0.117100841443311410E+01
   7   -0.248113093363255244E+01    0.336057468923891056E+01
   8    0.740868795355241194E-01    0.400569632634834548E-02
   9    0.389991119035753425E-02    0.126966236914983826E-02
  10    0.162588646577015350E+01    0.656746996043150233E+00
  11    0.154629844272699368E+01    0.605755431314260684E+00
  12    0.144372959384165767E+01    0.566087412832078307E+00
  13    0.245005047056253611E+01    0.713933043949287749E-01
  14    0.240392212561384877E+01    0.165603609284157745E-01
  15    0.360647563713250463E+01    0.298304266079761682E+00
  16   -0.794465356167018566E+01    0.760467582859240765E+00
  17   -0.662221059395034217E+01    0.985504332258302473E+00
  18   -0.532649545525984180E+01    0.915066857050586324E+00
  19   -0.277184738404048359E+01    0.612315907776729951E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.138675901166144477E+01
   2   -0.103938965786135995E+01
   3   -0.281074094677731523E+01
   4   -0.482848022907864038E+01
   5   -0.617644437758795739E+01
   6    0.143851635989651960E+01
   7    0.261412641140837465E+01
   8    0.834747268086416111E-01
   9    0.502060440243671472E-02
  10    0.164485828900565956E+01
  11    0.110872500088251047E+01
  12    0.103501092534980499E+01
  13    0.245843100301806095E+01
  14    0.238813763691316305E+01
  15    0.395495999038566826E+01
  16   -0.817633378991917326E+01
  17   -0.702224011182532415E+01
  18   -0.564400119979297266E+01
  19   -0.160560277268719709E+01

MAP Parameters
Dim No.        Parameter
   1    0.138675901166144477E+01
   2   -0.103938965786135995E+01
   3   -0.281074094677731523E+01
   4   -0.482848022907864038E+01
   5   -0.617644437758795739E+01
   6    0.143851635989651960E+01
   7    0.261412641140837465E+01
   8    0.834747268086416111E-01
   9    0.502060440243671472E-02
  10    0.164485828900565956E+01
  11    0.110872500088251047E+01
  12    0.103501092534980499E+01
  13    0.245843100301806095E+01
  14    0.238813763691316305E+01
  15    0.395495999038566826E+01
  16   -0.817633378991917326E+01
  17   -0.702224011182532415E+01
  18   -0.564400119979297266E+01
  19   -0.160560277268719709E+01
