Nested Sampling Global Log-Evidence           :    0.143720802424618705E+04  +/-    0.196225752845013007E+00
Nested Importance Sampling Global Log-Evidence:    0.143105289381600141E+04  +/-    0.691277503585104591E-01

Dim No.       Mean        Sigma
   1   -0.476358957536334893E+00    0.182221500219577637E+01
   2   -0.335278298991459245E+01    0.296621933660124526E+01
   3   -0.286337110298624964E+01    0.315163279317085809E+01
   4   -0.527242183970878742E+01    0.213975249703262538E+01
   5   -0.427000357994112889E+01    0.271583608496367424E+01
   6    0.126235011953758997E+00    0.221814580559943408E+01
   7   -0.296904593309751652E+01    0.322970552028476821E+01
   8    0.886217889812028758E-01    0.564959831505847890E-02
   9    0.369029953724710159E-02    0.127838617743394694E-02
  10    0.175520188966399693E+01    0.715862438310855054E+00
  11    0.153909639558730738E+01    0.631282964503796395E+00
  12    0.145001167875554970E+01    0.584435827045414857E+00
  13    0.177152965185445632E+01    0.519526153925982892E+00
  14    0.244393991939449329E+01    0.189904743219360267E-01
  15    0.183063627893738090E+01    0.536768248091342604E+00
  16   -0.775991225453217037E+01    0.906032820060016619E+00
  17   -0.648230689469934251E+01    0.110885588562326398E+01
  18   -0.520727856025161451E+01    0.113180221632749922E+01
  19   -0.208344196920895675E+01    0.114571012558478524E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.328209223967695873E+01
   2   -0.852384934144598816E+00
   3    0.122421354713494068E+01
   4   -0.382604456487242395E+01
   5   -0.514926551624665052E+01
   6    0.117497185804639415E+01
   7   -0.103112545504724373E+01
   8    0.883107589952907140E-01
   9    0.507738741253613551E-02
  10    0.155066597050460286E+01
  11    0.272189668655790484E+01
  12    0.700081692265366762E+00
  13    0.182823812870310576E+01
  14    0.245224668421386349E+01
  15    0.182357471101513902E+01
  16   -0.883729129911780831E+01
  17   -0.783615684704116244E+01
  18   -0.665456645886253639E+01
  19   -0.157786490028228421E+01

MAP Parameters
Dim No.        Parameter
   1   -0.328209223967695873E+01
   2   -0.852384934144598816E+00
   3    0.122421354713494068E+01
   4   -0.382604456487242395E+01
   5   -0.514926551624665052E+01
   6    0.117497185804639415E+01
   7   -0.103112545504724373E+01
   8    0.883107589952907140E-01
   9    0.507738741253613551E-02
  10    0.155066597050460286E+01
  11    0.272189668655790484E+01
  12    0.700081692265366762E+00
  13    0.182823812870310576E+01
  14    0.245224668421386349E+01
  15    0.182357471101513902E+01
  16   -0.883729129911780831E+01
  17   -0.783615684704116244E+01
  18   -0.665456645886253639E+01
  19   -0.157786490028228421E+01
