#   radius [cm]    height [cm]  dens [g/cm^3]   N [1/cm^3]     T [K]    P [bar]g [cm/s^2]       MMW
 6.2719141E+008    1.4066E+005    1.8921E-003  3.2112E+019   678.129 3.007E+000  1257.657    35.484
 6.2757235E+008    5.2160E+005    1.4209E-003  2.4115E+019   578.448 1.926E+000  1256.132    35.484
 6.2801972E+008    9.6897E+005    1.0577E-003  1.7951E+019   497.775 1.234E+000  1254.343    35.484
 6.2840691E+008    1.3562E+006    7.7995E-004  1.3237E+019   432.425 7.903E-001  1252.798    35.484
 6.2874526E+008    1.6945E+006    5.6931E-004  9.6620E+018   379.484 5.062E-001  1251.450    35.484
 6.2904399E+008    1.9932E+006    4.1109E-004  6.9768E+018   336.646 3.243E-001  1250.262    35.484
 6.2931068E+008    2.2599E+006    2.9345E-004  4.9803E+018   302.098 2.077E-001  1249.202    35.484
 6.2955159E+008    2.5008E+006    2.0694E-004  3.5120E+018   274.416 1.331E-001  1248.247    35.484
 6.2977193E+008    2.7212E+006    1.4407E-004  2.4450E+018   252.495 8.524E-002  1247.373    35.484
 6.2997613E+008    2.9254E+006    9.8952E-005  1.6793E+018   235.490 5.460E-002  1246.565    35.484
 6.3016801E+008    3.1173E+006    6.7004E-005  1.1371E+018   222.773 3.498E-002  1245.806    35.484
 6.3035096E+008    3.3002E+006    4.4701E-005  7.5863E+017   213.904 2.240E-002  1245.083    35.484
 6.3052808E+008    3.4773E+006    2.9361E-005  4.9830E+017   208.609 1.435E-002  1244.383    35.484
 6.3070231E+008    3.6516E+006    1.8975E-005  3.2202E+017   206.777 9.193E-003  1243.696    35.484
 6.3087594E+008    3.8252E+006    1.2145E-005  2.0612E+017   206.942 5.889E-003  1243.011    35.484
 6.3104994E+008    3.9992E+006    7.7609E-006  1.3171E+017   207.447 3.772E-003  1242.326    35.484
 6.3122460E+008    4.1739E+006    4.9517E-006  8.4037E+016   208.273 2.416E-003  1241.639    35.484
 6.3140018E+008    4.3494E+006    3.1549E-006  5.3542E+016   209.400 1.548E-003  1240.948    35.484
 6.3157692E+008    4.5262E+006    2.0074E-006  3.4068E+016   210.813 9.916E-004  1240.254    35.484
 6.3175507E+008    4.7043E+006    1.2757E-006  2.1650E+016   212.495 6.352E-004  1239.554    35.484
 6.3193484E+008    4.8841E+006    8.0981E-007  1.3743E+016   214.430 4.069E-004  1238.849    35.484
 6.3211644E+008    5.0657E+006    5.1354E-007  8.7155E+015   216.602 2.606E-004  1238.138    35.484
 6.3230007E+008    5.2493E+006    3.2537E-007  5.5219E+015   218.995 1.670E-004  1237.418    35.484
 6.3248592E+008    5.4352E+006    2.0598E-007  3.4957E+015   221.593 1.069E-004  1236.691    35.484
 6.3267415E+008    5.6234E+006    1.3031E-007  2.2115E+015   224.380 6.851E-005  1235.956    35.484
 6.3286491E+008    5.8142E+006    8.2385E-008  1.3982E+015   227.338 4.388E-005  1235.211    35.484
 6.3305836E+008    6.0076E+006    5.2061E-008  8.8354E+014   230.450 2.811E-005  1234.456    35.484
 6.3325461E+008    6.2039E+006    3.2886E-008  5.5811E+014   233.695 1.801E-005  1233.691    35.484
 6.3345379E+008    6.4030E+006    2.0767E-008  3.5245E+014   237.055 1.154E-005  1232.915    35.484
 6.3365597E+008    6.6052E+006    1.3112E-008  2.2253E+014   240.508 7.389E-006  1232.129    35.484
 6.3386123E+008    6.8105E+006    8.2780E-009  1.4049E+014   244.031 4.733E-006  1231.331    35.484
 6.3406964E+008    7.0189E+006    5.2262E-009  8.8696E+013   247.600 3.032E-006  1230.521    35.484
 6.3428123E+008    7.2305E+006    3.3000E-009  5.6004E+013   251.190 1.942E-006  1229.701    35.484
 6.3449599E+008    7.4452E+006    2.0841E-009  3.5370E+013   254.774 1.244E-006  1228.868    35.484
 6.3471394E+008    7.6632E+006    1.3167E-009  2.2346E+013   258.322 7.970E-007  1228.024    35.484
 6.3493503E+008    7.8843E+006    8.3223E-010  1.4124E+013   261.806 5.105E-007  1227.169    35.484
 6.3515919E+008    8.1084E+006    5.2629E-010  8.9318E+012   265.194 3.270E-007  1226.303    35.484
 6.3538634E+008    8.3356E+006    3.3304E-010  5.6521E+012   268.452 2.095E-007  1225.427    35.484
 6.3561636E+008    8.5656E+006    2.1090E-010  3.5793E+012   271.548 1.342E-007  1224.540    35.484
 6.3584911E+008    8.7984E+006    1.3367E-010  2.2686E+012   274.446 8.596E-008  1223.644    35.484
 6.3608440E+008    9.0336E+006    8.4805E-011  1.4392E+012   277.110 5.506E-008  1222.738    35.484
 6.3632202E+008    9.2713E+006    5.3858E-011  9.1404E+011   279.504 3.527E-008  1221.825    35.484
 6.3656173E+008    9.5110E+006    3.4245E-011  5.8117E+011   281.592 2.259E-008  1220.905    35.484
 6.3680327E+008    9.7525E+006    2.1801E-011  3.6999E+011   283.336 1.447E-008  1219.979    35.484
 6.3704632E+008    9.9956E+006    1.3898E-011  2.3587E+011   284.701 9.271E-009  1219.049    35.484
 6.3729055E+008    1.0240E+007    8.8733E-012  1.5059E+011   285.652 5.939E-009  1218.115    35.484
 6.3753558E+008    1.0485E+007    5.6740E-012  9.6295E+010   286.155 3.804E-009  1217.178    35.484
 6.3777486E+008    1.0724E+007    3.8268E-012  6.4945E+010   271.786 2.437E-009  1216.265    35.484
 6.3789316E+008    1.0842E+007    1.6893E-010  2.8669E+012     3.944 1.561E-009  1215.814    35.484
 6.3790375E+008    1.0853E+007    1.0297E-011  1.7475E+011    41.447 1.000E-009  1215.774    35.484
