#  lambda [mu]  total average tau
    6.030151      0.5363425E+07
    6.090755      0.4778560E+07
    6.151969      0.2894876E+07
    6.213798      0.1629583E+07
    6.276248      0.6850277E+06
    6.339326      0.1847558E+07
    6.403038      0.6303570E+07
    6.467390      0.1015892E+08
    6.532389      0.1139355E+08
    6.598041      0.1715823E+08
    6.664353      0.1327491E+08
    6.731331      0.7259828E+07
    6.798983      0.7688807E+07
    6.867314      0.8621878E+07
    6.936333      0.5822266E+07
    7.006044      0.7828166E+07
    7.076457      0.6743827E+07
    7.147577      0.6379153E+07
    7.219412      0.6183803E+07
    7.291969      0.6459862E+07
    7.365255      0.6088611E+07
    7.439278      0.6947231E+07
    7.514044      0.5166806E+07
    7.589562      0.5571389E+07
    7.665839      0.4203196E+07
    7.742883      0.5099880E+07
    7.820701      0.3238171E+07
    7.899301      0.3866578E+07
    7.978691      0.2275845E+07
    8.058879      0.2294311E+07
    8.139872      0.1896159E+07
    8.221680      0.1580582E+07
    8.304310      0.1190674E+07
    8.387771      0.1029536E+07
    8.472070      0.9692580E+06
    8.557216      0.6414904E+06
    8.643218      0.4759861E+06
    8.730085      0.4729040E+06
    8.817824      0.3758022E+06
    8.906446      0.2562137E+06
    8.995958      0.3689068E+06
    9.086369      0.3828151E+06
    9.177690      0.3846698E+06
    9.269928      0.3224232E+06
    9.363093      0.2908430E+06
    9.457194      0.3578064E+06
    9.552242      0.2444307E+06
    9.648244      0.2578985E+06
    9.745211      0.1894297E+06
    9.843153      0.3790305E+06
    9.942079      0.3039078E+06
   10.042000      0.1905415E+06
   10.142920      0.1895258E+06
   10.244860      0.1971902E+06
   10.347830      0.3661464E+06
   10.451820      0.5226412E+06
   10.556870      0.2391542E+06
   10.662970      0.2019884E+06
   10.770130      0.2107405E+06
   10.878380      0.3404210E+06
   10.987710      0.8098786E+06
   11.098140      0.2807290E+06
   11.209670      0.2834195E+06
   11.322330      0.3428122E+06
   11.436130      0.2410881E+06
   11.551060      0.5159487E+06
   11.667150      0.7837013E+06
   11.784410      0.7354438E+06
   11.902850      0.3555999E+06
   12.022470      0.4294596E+06
   12.143300      0.4312358E+06
   12.265350      0.8505275E+06
   12.388620      0.1484586E+07
   12.513130      0.1263881E+07
   12.638890      0.1350653E+07
   12.765910      0.1381503E+07
   12.894210      0.1345515E+07
   13.023800      0.2694872E+07
   13.154690      0.2554527E+07
   13.286900      0.4104009E+07
   13.420440      0.4432764E+07
   13.555320      0.5449488E+07
   13.691550      0.5299728E+07
   13.829150      0.8509158E+07
   13.968140      0.1001023E+08
   14.108520      0.9676489E+07
   14.250320      0.1285750E+08
   14.393540      0.1611498E+08
   14.538200      0.1873682E+08
   14.684310      0.1746194E+08
   14.831890      0.2298894E+08
   14.980950      0.8089218E+08
   15.131520      0.1445927E+08
   15.283590      0.1652668E+08
   15.437190      0.1964223E+08
   15.592340      0.1712458E+08
   15.749050      0.1656453E+08
   15.907330      0.7298345E+07
   15.993430      0.1361937E+08
