Nested Sampling Global Log-Evidence           :    0.142613992842129755E+04  +/-    0.281578943587608210E+00
Nested Importance Sampling Global Log-Evidence:    0.142387796400720958E+04  +/-    0.987443482015760932E+00

Dim No.       Mean        Sigma
   1   -0.611150380481855771E+00    0.191506536596537469E+01
   2   -0.438041788967971080E+01    0.265222667292077574E+01
   3    0.929674517552692703E+00    0.103679775155884935E+01
   4    0.127292392454575243E+01    0.986087274686851756E+00
   5    0.470836264347662625E+00    0.100220885475526855E+01
   6   -0.244416919285747314E+01    0.104294063440724849E+01
   7   -0.318478829120533335E+01    0.314935926887789508E+01
   8    0.925509388855422083E-01    0.919792948883461567E-02
   9    0.401875106410344574E-02    0.125707009673578052E-02
  10    0.174318158198780049E+01    0.706721407385198841E+00
  11    0.164288351250744924E+01    0.659390564250275313E+00
  12    0.159811943629642128E+01    0.591262954190712287E+00
  13    0.237628430288392689E+01    0.877270648387144109E-01
  14    0.231017272375177640E+01    0.251581066000726786E-01
  15    0.389597744176967664E+01    0.862307391007318125E-01
  16   -0.809265915114213996E+01    0.690306494625990141E+00
  17   -0.714574288497267762E+01    0.883287344551920373E+00
  18   -0.618112539148534790E+01    0.919702405442750615E+00
  19   -0.211224743185132491E+01    0.293840212342979079E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.102798394108732527E+01
   2   -0.786373338681566647E+01
   3   -0.265133215871536265E+00
   4    0.317743043571526884E+00
   5   -0.417571550865057262E+00
   6   -0.348227907100467426E+01
   7   -0.263772216037000540E+01
   8    0.896927160759091596E-01
   9    0.390548114407175944E-02
  10    0.161749070701842590E+01
  11    0.569013152892222540E+00
  12    0.215864403785395353E+01
  13    0.245671374305668389E+01
  14    0.231549905349520690E+01
  15    0.394566179323602650E+01
  16   -0.880541991926317635E+01
  17   -0.877454586410921777E+01
  18   -0.852575555326770029E+01
  19   -0.204194365768431751E+01

MAP Parameters
Dim No.        Parameter
   1    0.102798394108732527E+01
   2   -0.786373338681566647E+01
   3   -0.265133215871536265E+00
   4    0.317743043571526884E+00
   5   -0.417571550865057262E+00
   6   -0.348227907100467426E+01
   7   -0.263772216037000540E+01
   8    0.896927160759091596E-01
   9    0.390548114407175944E-02
  10    0.161749070701842590E+01
  11    0.569013152892222540E+00
  12    0.215864403785395353E+01
  13    0.245671374305668389E+01
  14    0.231549905349520690E+01
  15    0.394566179323602650E+01
  16   -0.880541991926317635E+01
  17   -0.877454586410921777E+01
  18   -0.852575555326770029E+01
  19   -0.204194365768431751E+01
