#       P [bar]       C/O       [O]       [C]
     2.0185E+02     0.428     3.852     3.744
     1.1866E+02     0.428     3.852     3.744
     6.9758E+01     0.428     3.852     3.744
     4.1009E+01     0.428     3.852     3.744
     2.4108E+01     0.428     3.852     3.744
     1.4173E+01     0.428     3.852     3.744
     8.3317E+00     0.428     3.852     3.744
     4.8980E+00     0.428     3.852     3.744
     2.8794E+00     0.428     3.852     3.744
     1.6927E+00     0.428     3.852     3.744
     9.9512E-01     0.428     3.852     3.744
     5.8501E-01     0.428     3.852     3.744
     3.4391E-01     0.428     3.852     3.744
     2.0218E-01     0.428     3.852     3.744
     1.1885E-01     0.428     3.852     3.744
     6.9872E-02     0.428     3.852     3.744
     4.1076E-02     0.428     3.852     3.744
     2.4148E-02     0.428     3.852     3.744
     1.4196E-02     0.428     3.852     3.744
     8.3453E-03     0.428     3.852     3.744
     4.9060E-03     0.428     3.852     3.744
     2.8841E-03     0.428     3.852     3.744
     1.6955E-03     0.428     3.852     3.744
     9.9674E-04     0.428     3.852     3.744
     5.8596E-04     0.428     3.852     3.744
     3.4447E-04     0.428     3.852     3.744
     2.0251E-04     0.428     3.852     3.744
     1.1905E-04     0.428     3.852     3.744
     6.9986E-05     0.428     3.852     3.744
     4.1143E-05     0.428     3.852     3.744
     2.4187E-05     0.428     3.852     3.744
     1.4219E-05     0.428     3.852     3.744
     8.3589E-06     0.428     3.852     3.744
     4.9140E-06     0.428     3.852     3.744
     2.8888E-06     0.428     3.852     3.744
     1.6983E-06     0.428     3.852     3.744
     9.9837E-07     0.428     3.852     3.744
     5.8692E-07     0.428     3.852     3.744
     3.4503E-07     0.428     3.852     3.744
     2.0284E-07     0.428     3.852     3.744
     1.1924E-07     0.428     3.852     3.744
     7.0100E-08     0.428     3.852     3.744
     4.1210E-08     0.428     3.852     3.744
     2.4226E-08     0.428     3.852     3.744
     1.4242E-08     0.428     3.852     3.744
     8.3726E-09     0.428     3.852     3.744
     4.9220E-09     0.428     3.852     3.744
     2.8935E-09     0.428     3.852     3.744
     1.7010E-09     0.428     3.852     3.744
     1.0000E-09     0.428     3.852     3.744
