#    T [K]      P [bar]     H2O            CO2            CH4            NH3            N2             H2        
  1739.975   7.484E+002    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
  1492.444   4.284E+002    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
  1283.655   2.452E+002    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
  1107.421   1.403E+002    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   958.538   8.032E+001    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   832.641   4.597E+001    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   726.065   2.631E+001    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   635.744   1.506E+001    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   559.109   8.620E+000    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   494.010   4.934E+000    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   438.652   2.824E+000    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   391.533   1.616E+000    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   351.397   9.251E-001    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   317.196   5.295E-001    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   288.056   3.031E-001    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   263.248   1.735E-001    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   242.164   9.928E-002    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   224.299   5.682E-002    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   209.238   3.252E-002    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   196.638   1.862E-002    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   186.219   1.065E-002    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   177.759   6.098E-003    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   171.050   3.491E-003    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   165.766   1.998E-003    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   161.601   1.143E-003    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   158.292   6.545E-004    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   155.611   3.746E-004    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   153.349   2.144E-004    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   151.313   1.227E-004    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   149.320   7.024E-005    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   147.199   4.020E-005    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   144.786   2.301E-005    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   141.933   1.317E-005    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   138.505   7.538E-006    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   134.391   4.315E-006    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   129.507   2.470E-006    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   123.801   1.413E-006    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   117.264   8.090E-007    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
   108.564   4.630E-007    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
    48.574   2.650E-007    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
    12.861   1.517E-007    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
     4.843   8.682E-008    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
     4.996   4.969E-008    3.4066E-001    6.2697E-001    1.0873E-005    1.4724E-007    3.2355E-002    8.8966E-008
