Nested Sampling Global Log-Evidence           :    0.144955863744935778E+04  +/-    0.304001408159155329E+00
Nested Importance Sampling Global Log-Evidence:    0.144441571979985861E+04  +/-    0.581553870908569775E-01

Dim No.       Mean        Sigma
   1   -0.360080844102961650E+00    0.174845507357130558E+01
   2   -0.400472087335540827E+01    0.234630209255708833E+01
   3    0.145961136852759132E+01    0.584984621302531482E+00
   4    0.206012869659380238E+01    0.584408123474016050E+00
   5   -0.250953176731960781E+01    0.604899309732896739E+00
   6   -0.632446907602337483E+01    0.131273931583405634E+01
   7   -0.391913743176175933E+01    0.263601587559007688E+01
   8    0.865149251007937409E-01    0.462215871862394281E-02
   9    0.349277791934912837E-02    0.125022107460799636E-02
  10    0.171063509133334768E+01    0.696099289387606346E+00
  11    0.162853780764698386E+01    0.627609763670850529E+00
  12    0.145741666722691887E+01    0.582330432519231000E+00
  13    0.169286355290919821E+01    0.220713018357739071E+00
  14    0.221683193205871731E+01    0.110369390878235954E+00
  15    0.292036435870578215E+01    0.139821341105193675E+00
  16   -0.806452925013274147E+01    0.568283071775608217E+00
  17   -0.708004198214976110E+01    0.758430700117496581E+00
  18   -0.607629351090623793E+01    0.799429643810726565E+00
  19   -0.229393970294661509E+01    0.803172700421759256E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.227596228665625684E-01
   2   -0.417664602572243560E+01
   3    0.240645347038608648E+01
   4    0.267138121461876032E+01
   5   -0.208951967179559261E+01
   6   -0.395784459595022931E+01
   7    0.138407738868213315E+01
   8    0.880627022967980511E-01
   9    0.263584928950813275E-02
  10    0.154270951229358011E+01
  11    0.147452465273618172E+01
  12    0.622912683968278147E+00
  13    0.204507002525408499E+01
  14    0.225298657045731909E+01
  15    0.327559123146599251E+01
  16   -0.798195788442139609E+01
  17   -0.716032477654566257E+01
  18   -0.630249905425412127E+01
  19   -0.217395239772041915E+01

MAP Parameters
Dim No.        Parameter
   1    0.227596228665625684E-01
   2   -0.417664602572243560E+01
   3    0.240645347038608648E+01
   4    0.267138121461876032E+01
   5   -0.208951967179559261E+01
   6   -0.395784459595022931E+01
   7    0.138407738868213315E+01
   8    0.880627022967980511E-01
   9    0.263584928950813275E-02
  10    0.154270951229358011E+01
  11    0.147452465273618172E+01
  12    0.622912683968278147E+00
  13    0.204507002525408499E+01
  14    0.225298657045731909E+01
  15    0.327559123146599251E+01
  16   -0.798195788442139609E+01
  17   -0.716032477654566257E+01
  18   -0.630249905425412127E+01
  19   -0.217395239772041915E+01
