#Kzz [cm^2/s]      P [bar]
   5.000E+008   3.901E+002
   5.000E+008   2.263E+002
   5.000E+008   1.312E+002
   5.000E+008   7.613E+001
   5.000E+008   4.415E+001
   5.000E+008   2.561E+001
   5.000E+008   1.485E+001
   5.000E+008   8.616E+000
   5.000E+008   4.998E+000
   5.000E+008   2.899E+000
   5.000E+008   1.681E+000
   5.000E+008   9.752E-001
   5.000E+008   5.656E-001
   5.000E+008   3.281E-001
   5.000E+008   1.903E-001
   5.000E+008   1.104E-001
   5.000E+008   6.402E-002
   5.000E+008   3.713E-002
   5.000E+008   2.154E-002
   5.000E+008   1.249E-002
   5.000E+008   7.246E-003
   5.000E+008   4.203E-003
   5.000E+008   2.438E-003
   5.000E+008   1.414E-003
   5.000E+008   8.201E-004
   5.000E+008   4.757E-004
   5.000E+008   2.759E-004
   5.000E+008   1.600E-004
   5.000E+008   9.282E-005
   5.000E+008   5.384E-005
   5.000E+008   3.123E-005
   5.000E+008   1.811E-005
   5.000E+008   1.051E-005
   5.000E+008   6.094E-006
   5.000E+008   3.534E-006
   5.000E+008   2.050E-006
   5.000E+008   1.189E-006
   5.000E+008   6.897E-007
   5.000E+008   4.000E-007
   5.000E+008   2.320E-007
   5.000E+008   1.346E-007
   5.000E+008   7.806E-008
   5.000E+008   4.528E-008
   5.000E+008   2.626E-008
   5.000E+008   1.523E-008
   5.000E+008   8.835E-009
   5.000E+008   5.125E-009
   5.000E+008   2.972E-009
   5.000E+008   1.724E-009
   5.000E+008   1.000E-009
