# pmax       H2          H2O         CO2         CH4         NH3         N2          Rp          Mp          Tpoint001   Tpoint002   Tpoint003   Tpoint004   Tpoint005   Tpoint006   Ppoint002   Ppoint003   Ppoint004   Ppoint005           C/O         [Z]        Teff         MMW
 -2.3655E+00 -3.8020E+00  2.1971E+00  2.4403E+00 -7.5084E+00 -4.9122E+00 -4.1312E+00  9.8597E-02  5.0353E-03  2.1099E+00  2.0649E+00  9.4112E-01  1.7508E+00  2.3699E+00  3.1586E+00 -7.5367E+00 -7.3368E+00 -6.6064E+00 -8.0704E-01  3.7160E-01  3.4874E+00  1.9832E+02  3.3084E+01
 -4.0573E-01 -7.0674E+00  2.1711E+00  2.6777E+00 -5.5983E+00 -6.3632E+00 -5.7248E+00  1.0413E-01  4.6895E-03  2.5452E+00  1.6515E+00  2.3975E+00  1.8155E+00  2.1623E+00  2.7747E+00 -6.4827E+00 -5.8400E+00 -4.4792E+00 -2.3951E+00  3.8893E-01  3.5515E+00  1.9334E+02  3.4310E+01
 -1.7443E+00 -8.4990E-02  1.0894E+00  1.3812E+00 -7.9535E+00 -7.2739E+00 -5.1010E+00  9.8892E-02  4.9237E-03  2.1680E+00  1.0010E+00  6.7354E-01  2.0597E+00  2.2396E+00  3.2691E+00 -8.1935E+00 -7.7881E+00 -5.8452E+00 -1.9444E+00  4.3262E-01  3.7821E+00  1.9874E+02  3.7562E+01
 -2.8261E+00 -3.9514E+00  1.8241E+00  1.9236E+00 -6.8487E+00 -5.0952E+00 -5.0103E+00  9.4259E-02  4.7889E-03  2.3081E+00  2.4358E+00  9.2976E-01  1.6720E+00  2.4693E+00  3.2398E+00 -7.3922E+00 -6.1569E+00 -5.2977E+00 -2.7145E-01  3.9829E-01  3.5646E+00  2.0344E+02  3.4238E+01
 -2.5378E+00 -4.7598E+00  1.7984E+00  1.9825E+00 -6.6123E+00 -7.4498E+00 -8.0668E-01  9.4954E-02  5.1454E-03  2.3256E+00  1.3148E+00  1.2022E+00  1.9586E+00  2.4262E+00  3.7716E+00 -8.0943E+00 -6.4972E+00 -4.8307E+00 -4.5411E-01  3.5776E-01  3.4343E+00  2.0335E+02  3.2261E+01
  5.8374E-01 -3.5320E+00  1.7779E+00  1.9999E+00 -7.7582E+00 -5.6769E+00  1.1098E+00  9.8026E-02  2.2277E-03  1.6045E+00  2.5227E+00  5.4508E-01  1.9832E+00  2.3266E+00  3.3801E+00 -8.1968E+00 -5.9448E+00 -4.9387E+00 -1.2661E+00  3.7672E-01  3.5028E+00  2.0122E+02  3.3478E+01
  1.7728E+00 -2.4212E+00  1.4617E+00  1.7482E+00 -8.8562E+00 -7.3820E+00  9.9077E-01  9.7876E-02  5.3069E-03  2.0674E+00  2.6172E+00  8.9559E-01  1.7649E+00  2.4935E+00  2.9427E+00 -8.6534E+00 -7.7794E+00 -4.9253E+00  3.9438E-02  3.8466E-01  3.5639E+00  1.9899E+02  3.3555E+01
  1.0438E+00 -5.5053E+00  2.4121E+00  2.6042E+00 -5.3462E+00 -8.6072E+00 -4.6931E-01  9.9957E-02  3.2069E-03  9.9248E-01  1.3775E+00  1.5609E+00  2.0003E+00  2.3693E+00  3.5748E+00 -7.3228E+00 -6.3661E+00 -4.7665E+00 -8.5027E-01  3.9728E-01  3.6292E+00  1.9708E+02  3.4162E+01
 -9.9587E-01 -8.1138E+00  5.2790E-01  7.8332E-01 -4.4831E+00 -7.3246E+00 -3.7816E+00  9.4926E-02  4.6412E-03  1.4044E+00  1.4070E+00  1.5997E+00  2.0253E+00  2.2857E+00  3.2834E+00 -8.2177E+00 -5.7003E+00 -4.6263E+00 -1.4542E+00  3.7843E-01  3.5092E+00  2.0279E+02  3.3594E+01
  2.1376E+00 -7.8853E+00  6.5372E-01  1.4167E+00 -5.6630E+00 -6.5213E+00 -7.0448E+00  1.1216E-01  4.8680E-03  1.6954E+00  2.1943E+00  1.4780E+00  1.7478E+00  2.1128E+00  2.7831E+00 -7.6309E+00 -6.8448E+00 -4.8352E+00 -2.5573E+00  3.9134E-01  3.5618E+00  1.8415E+02  3.4477E+01
  1.3506E+00 -1.8154E+00  1.2096E+00  1.3980E+00 -5.2269E+00 -5.6369E+00 -2.5540E+00  9.5233E-02  4.8089E-03  1.8733E+00  4.9685E-01  1.9830E+00  1.9690E+00  2.2345E+00  3.3089E+00 -8.2323E+00 -7.0074E+00 -6.6166E+00 -1.8798E+00  4.6028E-01  4.0199E+00  2.0184E+02  3.9894E+01
 -6.4780E-01 -4.6057E+00  1.3598E+00  1.6222E+00 -2.2715E+00 -7.6743E+00  4.8963E-01  1.0292E-01  2.5052E-03  2.4504E+00  5.4759E-01  1.0229E+00  1.8052E+00  2.3489E+00  3.2037E+00 -7.8640E+00 -7.6069E+00 -6.7408E+00 -1.0611E+00  3.7765E-01  3.5056E+00  1.9319E+02  3.3533E+01
 -2.0037E+00 -2.0893E+00  2.1050E+00  2.2991E+00 -4.6520E+00 -4.8280E+00 -3.8342E+00  9.6115E-02  5.1731E-03  1.6324E+00  2.1898E+00  2.0868E+00  1.3897E+00  1.6922E+00  2.7795E+00 -7.6350E+00 -7.3488E+00 -6.1800E+00 -4.8984E+00  3.9275E-01  3.5852E+00  2.0143E+02  3.4263E+01
 -7.5498E-01 -5.3083E+00  2.7243E+00  2.8685E+00 -7.4786E+00 -3.9558E+00 -8.2993E+00  9.7642E-02  2.9018E-03  1.9320E+00  1.4896E+00  6.2565E-01  2.1139E+00  2.2451E+00  3.3758E+00 -8.7394E+00 -7.1494E+00 -6.3863E+00 -2.1339E+00  3.7885E-01  3.5106E+00  2.0049E+02  3.3624E+01
  1.9167E+00 -4.2182E+00  2.6427E+00  2.6595E+00 -4.1809E+00 -3.9762E+00 -2.2619E+00  9.0352E-02  5.8101E-03  1.3662E+00  2.4619E+00  1.6778E+00  1.9247E+00  2.4383E+00  3.6622E+00 -6.0458E+00 -5.6482E+00 -4.2870E+00 -4.2133E-01  3.6800E-01  3.4700E+00  2.0703E+02  3.2912E+01
 -3.9245E+00  2.3451E-01  1.8302E+00  2.0210E+00 -3.1196E+00 -5.1210E+00 -6.0832E+00  9.2976E-02  5.8471E-03  8.7739E-01  2.4130E+00  1.3801E+00  2.1004E+00  2.2456E+00  3.3284E+00 -7.5183E+00 -5.1178E+00 -5.1123E+00 -1.9381E+00  3.3759E-01  3.3702E+00  2.0594E+02  3.1037E+01
  1.4371E+00 -5.1265E+00  1.9626E+00  2.4966E+00 -3.3507E+00 -7.5363E+00 -5.2651E+00  9.9441E-02  5.9691E-03  2.6349E+00  1.3371E+00  1.7556E+00  1.9421E+00  2.2227E+00  2.8746E+00 -7.3717E+00 -5.8610E+00 -3.8291E+00 -1.8650E+00  3.7816E-01  3.4971E+00  1.9769E+02  3.3268E+01
  8.9004E-02 -4.3950E+00  2.4541E+00  2.8215E+00 -5.1351E+00 -7.7359E+00 -2.4159E+00  1.0392E-01  5.0582E-03  1.1546E+00  1.2899E+00  5.4610E-01  2.1144E+00  2.2753E+00  3.0987E+00 -6.4236E+00 -6.1100E+00 -4.4864E+00 -1.6988E+00  4.3622E-01  3.8070E+00  1.9340E+02  3.7853E+01
 -1.0043E+00 -8.2442E-01  1.9280E+00  2.0458E+00 -5.0419E+00 -5.1665E+00 -3.1566E+00  9.3420E-02  4.8658E-03  8.2448E-01  1.7121E+00  6.0236E-01  2.0989E+00  2.2789E+00  3.4282E+00 -7.2784E+00 -5.3782E+00 -4.8295E+00 -1.5784E+00  4.1166E-01  3.6580E+00  2.0430E+02  3.5942E+01
